Episode,Total Reward,Epsilon
324,2472,0.19709615934585656
325,2412,0.19611067854912728
326,312,0.19513012515638165
327,537,0.19415447453059972
328,4520,0.19318370215794672
329,339,0.192217783647157
330,3396,0.1912566947289212
331,2991,0.1903004112552766
332,1848,0.18934890919900021
333,3291,0.18840216465300522
334,1448,0.18746015382974018
335,890,0.1865228530605915
336,642,0.18559023879528855
337,1900,0.1846622876013121
338,1110,0.18373897616330553
339,641,0.182820281282489
340,2182,0.18190617987607657
341,412,0.18099664897669618
342,1633,0.1800916657318127
343,884,0.17919120740315364
344,1012,0.17829525136613786
345,874,0.17740377510930716
346,1746,0.17651675623376062
347,1379,0.1756341724525918
348,1309,0.17475600159032884
349,443,0.17388222158237718
350,893,0.1730128104744653
351,285,0.17214774642209296
352,627,0.1712870076899825
353,2014,0.17043057265153258
354,852,0.16957841978827493
355,1273,0.16873052768933355
356,1695,0.1678868750508869
357,464,0.16704744067563246
358,398,0.1662122034722543
359,5381,0.16538114245489302
360,1112,0.16455423674261854
361,2633,0.16373146555890544
362,1556,0.16291280823111093
363,1548,0.16209824418995536
364,2562,0.16128775296900558
365,969,0.16048131420416054
366,2977,0.15967890763313974
367,4840,0.15888051309497406
368,2807,0.1580861105294992
369,3172,0.1572956799768517
370,1613,0.15650920157696743
371,4066,0.1557266555690826
372,1252,0.1549480222912372
373,1321,0.15417328217978102
374,1138,0.1534024157688821
375,1962,0.1526354036900377
376,1084,0.1518722266715875
377,4929,0.15111286553822956
378,3073,0.15035730121053842
379,2031,0.14960551470448571
380,396,0.14885748713096328
381,4069,0.14811319969530845
382,459,0.1473726336968319
383,390,0.14663577052834775
384,3495,0.14590259167570602
385,1313,0.1451730787173275
386,643,0.14444721332374086
387,4179,0.14372497725712216
388,3341,0.14300635237083656
389,1335,0.14229132060898236
390,2101,0.14157986400593744
391,958,0.14087196468590776
392,1064,0.14016760486247823
393,1218,0.13946676683816583
394,688,0.138769433003975
395,2282,0.13807558583895513
396,2012,0.13738520790976036
397,581,0.13669828187021155
398,1823,0.13601479046086049
399,152,0.1353347165085562
400,1061,0.1346580429260134
401,1592,0.13398475271138335
402,216,0.13331482894782642
403,1613,0.13264825480308728
404,590,0.13198501352907185
405,1129,0.1313250884614265
406,685,0.13066846301911936
407,1225,0.13001512070402377
408,1162,0.12936504510050365
409,1553,0.12871821987500112
410,-30,0.12807462877562611
411,1306,0.12743425563174798
412,1590,0.12679708435358925
413,210,0.1261630989318213
414,905,0.1255322834371622
415,2051,0.12490462201997637
416,798,0.1242800989098765
417,202,0.12365869841532712
418,163,0.12304040492325048
419,1579,0.12242520289863423
420,1178,0.12181307688414106
421,4197,0.12120401149972035
422,2257,0.12059799144222175
423,1668,0.11999500148501063
424,1232,0.11939502647758558
425,1498,0.11879805134519765
426,650,0.11820406108847166
427,2434,0.1176130407830293
428,1432,0.11702497557911415
429,5201,0.11643985070121858
430,3606,0.11585765144771248
431,2384,0.11527836319047392
432,379,0.11470197137452155
433,84,0.11412846151764894
434,2327,0.1135578192100607
435,665,0.11299003011401039
436,4510,0.11242507996344034
437,6382,0.11186295456362313
438,2382,0.11130363979080501
439,3749,0.11074712159185099
440,1152,0.11019338598389174
441,1177,0.10964241905397228
442,463,0.10909420695870241
443,1078,0.1085487359239089
444,1283,0.10800599224428936
445,1092,0.10746596228306791
446,106,0.10692863247165257
447,1196,0.1063939893092943
448,1459,0.10586201936274783
449,995,0.10533270926593409
450,4118,0.10480604571960442
451,3581,0.1042820154910064
452,1877,0.10376060541355137
453,726,0.1032418023864836
454,2150,0.10272559337455119
455,2053,0.10221196540767843
456,480,0.10170090558064004
457,880,0.10119240105273684
458,244,0.10068643904747315
459,1355,0.10018300685223579
460,704,0.0996820918179746
461,623,0.09918368135888474
462,1667,0.09868776295209031
463,1184,0.09819432413732986
464,924,0.09770335251664321
465,3043,0.09721483575406
466,1534,0.09672876157528969
467,2227,0.09624511776741324
468,4217,0.09576389217857617
469,432,0.09528507271768329
470,1514,0.09480864735409487
471,1000,0.0943346041173244
472,3111,0.09386293109673778
473,3277,0.09339361644125409
474,20,0.09292664835904782
475,291,0.09246201511725258
476,2242,0.09199970504166631
477,3852,0.09153970651645797
478,1112,0.09108200798387568
479,1131,0.0906265979439563
480,4363,0.09017346495423652
481,1491,0.08972259762946533
482,1019,0.089273984641318
483,1509,0.0888276147181114
484,386,0.08838347664452084
485,861,0.08794155926129824
486,4638,0.08750185146499175
487,5138,0.08706434220766679
488,1124,0.08662902049662846
489,2636,0.08619587539414532
490,2197,0.08576489601717459
491,4389,0.08533607153708872
492,1154,0.08490939117940327
493,2700,0.08448484422350626
494,2351,0.08406242000238873
495,145,0.08364210790237678
496,2239,0.0832238973628649
497,925,0.08280777787605056
498,1951,0.08239373898667031
499,975,0.08198177029173696
500,1598,0.08157186144027828
